title,url,price,tags
PowerWash Simulator,https://store.steampowered.com/app/1290000/PowerWash_Simulator/,$24.99,"['Simulation', 'First-Person', 'Wholesome', 'Multiplayer', 'Casual', '3D', 'Co-op', 'Story Rich', 'Funny', 'Colorful', 'Singleplayer', 'Sandbox', 'Cozy', 'Atmospheric', 'Family Friendly', 'Relaxing', 'Realistic']"
Crush the Industry,https://store.steampowered.com/app/1098610/Crush_the_Industry/,$8.99,"['Roguelike Deckbuilder', 'Retro', 'Strategy', '2D', 'Satire', 'Card Game', 'Game Development', 'Roguelike', 'Singleplayer', 'Pixel Graphics', 'RPG', 'Mouse only', 'Difficult', 'Deckbuilding', 'Roguelite', 'Turn-Based', 'Psychedelic', 'Replay Value']"
The Binding of Isaac: Rebirth,https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/,$14.99,"['Soundtrack', '2D', 'Remake', 'Gore', 'Dark', 'Action', 'Roguelike', 'Dungeon Crawler', 'Pixel Graphics', 'Singleplayer', 'Co-op', 'Horror', 'Roguelite', 'Difficult', 'Atmospheric', 'Replay Value', 'Procedural Generation']"
Slay the Spire,https://store.steampowered.com/app/646570/Slay_the_Spire/,$8.49,"['Roguelike Deckbuilder', 'Strategy', '2D', 'Soundtrack', 'Card Game', 'Roguelike', 'Singleplayer', 'Dungeon Crawler', 'RPG', 'Mouse only', 'Casual', 'Deckbuilding', 'Roguelite', 'Difficult', 'Turn-Based', 'Fantasy', 'Replay Value', 'Procedural Generation']"
Escape Simulator,https://store.steampowered.com/app/1435790/Escape_Simulator/,$11.99,"['Simulation', 'First-Person', 'Multiplayer', 'Investigation', 'VR', 'Singleplayer', 'Co-op', 'Casual', 'Escape Room', 'Story Rich', 'Level Editor', 'Exploration', 'Adventure', 'Controller', 'Point & Click', 'Family Friendly', 'Puzzle', 'Mystery']"
Promise Mascot Agency,https://store.steampowered.com/app/2585830/Promise_Mascot_Agency/,$22.49,"['Management', 'Simulation', 'Anime', 'Visual Novel', 'Singleplayer', 'Story Rich', '3D', 'RPG', 'Creature Collector', 'Funny', 'Narrative', 'Crime', 'Driving', 'Adventure', 'LGBTQ+', 'Open World', 'Replay Value', 'Mature']"
Nubby's Number Factory,https://store.steampowered.com/app/3191030/Nubbys_Number_Factory/,$4.99,"['Strategy', 'Retro', '2D', 'Satire', 'Addictive', 'Horror', 'Roguelike', 'Singleplayer', 'Surreal', 'Arcade', 'Deckbuilding', 'Roguelite', 'Gambling', 'Stylized']"
Travellers Rest,https://store.steampowered.com/app/1139980/Travellers_Rest/,$13.49,"['Management', 'Simulation', 'Singleplayer', 'Isometric', 'Pixel Graphics', 'RPG', 'Resource Management', 'Colorful', 'Early Access', 'Inventory Management', 'Fantasy', 'Building', 'Medieval', 'Crafting', 'Adventure', 'Collectathon']"
No More Room in Hell 2,https://store.steampowered.com/app/292000/No_More_Room_in_Hell_2/,$29.99,"['Survival', 'PvE', 'First-Person', 'Multiplayer', 'Action', 'Horror', 'Early Access', 'Co-op', 'Outbreak Sim', 'Dark', 'Story Rich', 'Zombies', 'Atmospheric', 'Looter Shooter', 'Adventure', 'FPS', 'Shooter']"
Last Epoch - Abyssal Legend Supporter Pack,https://store.steampowered.com/app/3080470/Last_Epoch__Abyssal_Legend_Supporter_Pack/,$39.99,"['Gore', 'Character Customization', 'Singleplayer', 'Adventure', 'MMORPG', 'Action RPG', 'Hack and Slash', 'Early Access', 'Co-op', 'Magic', 'Top-Down', 'Loot', 'Action', 'Dungeon Crawler', 'RPG', 'Multiplayer', 'Isometric', 'Violent', 'Fantasy']"
Garry's Mod,https://store.steampowered.com/app/4000/Garrys_Mod/,$5.99,"['Simulation', 'First-Person', 'FPS', 'Multiplayer', 'Action', 'Casual', 'Singleplayer', 'Co-op', 'Funny', 'Physics', 'Sandbox', 'Comedy', 'Building', 'PvP', 'Exploration', 'Moddable', 'Realistic', 'Shooter']"
Hell Let Loose,https://store.steampowered.com/app/686810/Hell_Let_Loose/,$41.99,"['Tactical', 'Strategy', 'Simulation', 'First-Person', 'Gore', 'Historical', 'Multiplayer', 'Action', 'Massively Multiplayer', 'Singleplayer', 'Violent', 'PvP', 'Military', 'FPS', 'Realistic', 'Mature', 'Shooter']"
